Date,Open,High,Low,Close,Adj Close,Volume
2021-04-28,410514.0,411811.0,409355.0,410988.0,410988.0,1600
2021-04-29,412758.0,417905.0,412000.0,417905.0,417905.0,2000
2021-04-30,415438.0,417144.0,412000.0,412500.0,412500.0,2100
2021-05-03,418962.0,422648.0,417272.0,420000.0,420000.0,3100
2021-05-04,419095.0,421850.0,410850.0,421420.0,421420.0,2600
2021-05-05,425220.0,427435.0,424306.0,424840.0,424840.0,3000
2021-05-06,426700.0,435744.0,426700.0,435120.0,435120.0,3200
2021-05-07,436188.0,445000.0,432827.0,437131.0,437131.0,2700
2021-05-10,439132.0,443275.0,439132.0,439460.0,439460.0,3200
2021-05-11,435581.0,436871.0,427913.0,430258.0,430258.0,2500
2021-05-12,428607.0,431200.0,423077.0,425308.0,425308.0,1800
2021-05-13,425536.0,433541.0,424100.0,430640.0,430640.0,2400
2021-05-14,433996.0,437413.0,433996.0,437260.0,437260.0,2100
2021-05-17,435915.0,436131.0,432747.0,434324.0,434324.0,1700
2021-05-18,435440.0,435960.0,431767.0,431767.0,431767.0,1300
2021-05-19,426931.0,430720.0,424575.0,430720.0,430720.0,1700
2021-05-20,432773.0,435000.0,429880.0,431422.0,431422.0,1600
2021-05-21,431656.0,435200.0,431000.0,432469.0,432469.0,1300
2021-05-24,435273.0,437001.0,433287.0,435431.0,435431.0,1300
2021-05-25,437298.0,438445.0,431784.0,432274.0,432274.0,1400
2021-05-26,434366.0,434366.0,429765.0,432800.0,432800.0,1500
2021-05-27,433250.0,436000.0,431175.0,435420.0,435420.0,1500
2021-05-28,435623.0,436430.0,433637.0,436000.0,436000.0,1300
2021-06-01,438718.0,439100.0,434255.0,435304.0,435304.0,1700
2021-06-02,437556.0,437950.0,434647.0,435639.0,435639.0,1900
2021-06-03,433050.0,440158.0,433050.0,438745.0,438745.0,2000
2021-06-04,441063.0,441063.0,437769.0,439016.0,439016.0,1400
2021-06-07,440598.0,440598.0,433962.0,434611.0,434611.0,1800
2021-06-08,435393.0,435458.0,429260.0,434510.0,434510.0,1500
2021-06-09,434718.0,435750.0,431310.0,433125.0,433125.0,1300
2021-06-10,435120.0,436618.0,427156.0,427156.0,427156.0,134800
2021-06-11,428558.0,431351.0,428000.0,430282.0,430282.0,1200
2021-06-14,430407.0,430407.0,423242.0,425880.0,425880.0,2100
2021-06-15,427440.0,427852.0,424614.0,426045.0,426045.0,1200
2021-06-16,425495.0,427584.0,422457.0,425645.0,425645.0,1400
2021-06-17,426946.0,427231.0,417025.0,420359.0,420359.0,1800
2021-06-18,415847.0,416335.0,409701.0,412729.0,412729.0,1900
2021-06-21,414843.0,419177.0,414044.0,417780.0,417780.0,1400
2021-06-22,418010.0,418875.0,415126.0,418875.0,418875.0,1300
2021-06-23,416750.0,417000.0,413485.0,413890.0,413890.0,1500
2021-06-24,414781.0,416864.0,413187.0,415000.0,415000.0,1200
2021-06-25,417416.0,420389.0,414967.0,419134.0,419134.0,1000
2021-06-28,420421.0,420965.0,415200.0,416304.0,416304.0,1600
2021-06-29,417100.0,418868.0,414945.0,417000.0,417000.0,1200
2021-06-30,415236.0,419265.0,415100.0,418601.0,418601.0,1000
2021-07-01,418708.0,421491.0,417270.0,421005.0,421005.0,1000
2021-07-02,423427.0,423427.0,419020.0,420000.0,420000.0,1300
2021-07-06,419066.0,419066.0,414000.0,416930.0,416930.0,1400
2021-07-07,415581.0,420505.0,415091.0,419401.0,419401.0,1100
2021-07-08,416268.0,417572.0,411000.0,411840.0,411840.0,1600
2021-07-09,414768.0,422300.0,414463.0,422000.0,422000.0,1200
2021-07-12,420711.0,424304.0,418689.0,420937.0,420937.0,1400
2021-07-13,421011.0,421525.0,418724.0,419820.0,419820.0,1000
2021-07-14,419806.0,422061.0,418000.0,418500.0,418500.0,1000
2021-07-15,417336.0,422103.0,417000.0,421350.0,421350.0,900
2021-07-16,421981.0,421981.0,417113.0,417601.0,417601.0,900
2021-07-19,413133.0,414230.0,407773.0,410450.0,410450.0,1600
2021-07-20,410308.0,418481.0,409983.0,416244.0,416244.0,1100
2021-07-21,418550.0,422688.0,417000.0,420055.0,420055.0,1000
2021-07-22,419971.0,420248.0,417650.0,417800.0,417800.0,900
2021-07-23,418856.0,421413.0,418220.0,419000.0,419000.0,800
2021-07-26,418380.0,422000.0,418380.0,419500.0,419500.0,1100
2021-07-27,419810.0,423000.0,417135.0,422309.0,422309.0,1100
2021-07-28,422250.0,423461.0,418230.0,418975.0,418975.0,1000
2021-07-29,419635.0,423209.0,419635.0,420676.0,420676.0,1000
2021-07-30,421770.0,422914.0,418105.0,418900.0,418900.0,900
2021-08-02,420985.0,424242.0,418287.0,418695.0,418695.0,1200
2021-08-03,420576.0,425000.0,416965.0,423706.0,423706.0,1100
2021-08-04,421988.0,422884.0,419743.0,419962.0,419962.0,1000
2021-08-05,421358.0,424000.0,419000.0,421306.0,421306.0,1100
2021-08-06,424426.0,430160.0,424103.0,430160.0,430160.0,1300
